Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
444,Greivis Vasquez,PG,30,BRK,3,0,39,2,8,.250,1,3,.333,1,5,.200,.313,2,3,.667,0,2,2,5,1,1,1,6,7
445,Rashad Vaughn,SG,20,MIL,41,2,458,57,156,.365,26,81,.321,31,75,.413,.449,2,5,.400,4,45,49,23,19,10,14,32,142
446,Noah Vonleh,PF,21,POR,74,41,1265,130,270,.481,7,20,.350,123,250,.492,.494,60,94,.638,131,256,387,31,30,27,64,154,327
447,Nikola Vucevic,C,26,ORL,75,55,2163,483,1031,.468,23,75,.307,460,956,.481,.480,107,160,.669,176,603,779,208,76,74,117,180,1096
448,Sasha Vujacic,SG,32,NYK,42,4,408,42,136,.309,23,74,.311,19,62,.306,.393,17,24,.708,12,47,59,52,13,2,16,38,124
449,Dwyane Wade,SG,35,CHI,60,59,1792,414,955,.434,45,145,.310,369,810,.456,.457,223,281,.794,63,207,270,228,86,41,138,112,1096
450,Dion Waiters,SG,25,MIA,46,43,1384,281,663,.424,85,215,.395,196,448,.438,.488,82,127,.646,18,135,153,200,42,20,103,95,729
451,Kemba Walker,PG,26,CHO,79,79,2739,643,1449,.444,240,602,.399,403,847,.476,.527,304,359,.847,45,263,308,434,85,22,168,119,1830
452,John Wall,PG,26,WAS,78,78,2836,647,1435,.451,89,272,.327,558,1163,.480,.482,422,527,.801,59,267,326,831,157,49,322,151,1805
453,Taurean Waller-Prince,SF,22,ATL,59,10,981,114,285,.400,33,102,.324,81,183,.443,.458,74,94,.787,25,132,157,55,43,27,61,96,335
454,T.J. Warren,SF,23,PHO,66,59,2048,403,814,.495,26,98,.265,377,716,.527,.511,119,154,.773,125,214,339,75,76,39,57,175,951
455,C.J. Watson,PG,32,ORL,62,9,1012,96,248,.387,32,105,.305,64,143,.448,.452,57,66,.864,16,73,89,114,43,2,47,84,281
456,Briante Weber,PG,24,TOT,20,0,205,25,60,.417,1,10,.100,24,50,.480,.425,11,16,.688,8,18,26,21,12,1,8,16,62
456,Briante Weber,PG,24,GSW,7,0,46,5,14,.357,0,3,.000,5,11,.455,.357,2,3,.667,0,4,4,5,3,1,3,4,12
456,Briante Weber,PG,24,CHO,13,0,159,20,46,.435,1,7,.143,19,39,.487,.446,9,13,.692,8,14,22,16,9,0,5,12,50
457,David West,C,36,GSW,68,0,854,135,252,.536,3,8,.375,132,244,.541,.542,43,56,.768,47,156,203,151,42,48,78,105,316
458,Russell Westbrook,PG,28,OKC,81,81,2802,824,1941,.425,200,583,.343,624,1358,.459,.476,710,840,.845,137,727,864,840,132,31,438,190,2558
459,Okaro White,PF,24,MIA,35,0,471,33,87,.379,12,34,.353,21,53,.396,.448,20,22,.909,25,57,82,21,10,10,18,52,98
460,Isaiah Whitehead,PG,21,BRK,73,26,1643,204,508,.402,44,149,.295,160,359,.446,.445,91,113,.805,32,152,184,192,42,36,142,175,543
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
461,Hassan Whiteside,C,27,MIA,77,77,2513,542,973,.557,0,0,,542,973,.557,.557,225,358,.628,293,795,1088,57,57,161,154,226,1309
462,Andrew Wiggins,SF,21,MIN,82,82,3048,709,1570,.452,103,289,.356,606,1281,.473,.484,412,542,.760,102,226,328,189,82,30,187,183,1933
463,C.J. Wilcox,SG,26,ORL,22,0,108,8,31,.258,3,15,.200,5,16,.313,.306,2,2,1.000,4,8,12,12,2,1,6,8,21
464,Alan Williams,C,24,PHO,47,0,708,138,267,.517,0,1,.000,138,266,.519,.517,70,112,.625,94,198,292,23,27,32,37,125,346
465,Deron Williams,PG,32,TOT,64,44,1657,263,600,.438,85,234,.363,178,366,.486,.509,90,109,.826,14,133,147,360,31,8,138,138,701
465,Deron Williams,PG,32,DAL,40,40,1171,195,453,.430,63,181,.348,132,272,.485,.500,69,84,.821,13,89,102,274,25,2,98,96,522
465,Deron Williams,PG,32,CLE,24,4,486,68,147,.463,22,53,.415,46,94,.489,.537,21,25,.840,1,44,45,86,6,6,40,42,179
466,Derrick Williams,PF,25,TOT,50,11,804,108,244,.443,30,97,.309,78,147,.531,.504,58,89,.652,19,111,130,28,14,7,28,60,304
466,Derrick Williams,PF,25,MIA,25,11,377,54,137,.394,9,45,.200,45,92,.489,.427,31,50,.620,16,57,73,14,9,5,14,33,148
466,Derrick Williams,PF,25,CLE,25,0,427,54,107,.505,21,52,.404,33,55,.600,.603,27,39,.692,3,54,57,14,5,2,14,27,156
467,Lou Williams,SG,30,TOT,81,1,1994,428,998,.429,163,446,.365,265,552,.480,.511,402,457,.880,26,176,202,239,80,20,160,92,1421
467,Lou Williams,SG,30,LAL,58,1,1403,326,734,.444,122,317,.385,204,417,.489,.527,304,344,.884,14,118,132,183,65,11,120,67,1078
467,Lou Williams,SG,30,HOU,23,0,591,102,264,.386,41,129,.318,61,135,.452,.464,98,113,.867,12,58,70,56,15,9,40,25,343
468,Marvin Williams,PF,30,CHO,76,76,2295,297,704,.422,124,354,.350,173,350,.494,.510,131,150,.873,89,411,500,106,58,53,60,134,849
469,Reggie Williams,SF,30,NOP,6,0,79,8,23,.348,5,11,.455,3,12,.250,.457,6,7,.857,2,4,6,4,3,0,0,2,27
470,Troy Williams,SF,22,TOT,30,16,557,73,167,.437,18,62,.290,55,105,.524,.491,21,32,.656,15,54,69,25,27,10,32,60,185
470,Troy Williams,SF,22,MEM,24,13,418,51,123,.415,10,41,.244,41,82,.500,.455,15,25,.600,6,39,45,19,24,9,26,42,127
470,Troy Williams,SF,22,HOU,6,3,139,22,44,.500,8,21,.381,14,23,.609,.591,6,7,.857,9,15,24,6,3,1,6,18,58
471,Kyle Wiltjer,PF,24,HOU,14,0,44,4,14,.286,4,13,.308,0,1,.000,.429,1,2,.500,4,6,10,2,3,1,5,4,13
472,Justise Winslow,SF,20,MIA,18,15,625,80,225,.356,7,35,.200,73,190,.384,.371,29,47,.617,23,71,94,66,26,6,33,52,196
473,Jeff Withey,C,26,UTA,51,1,432,55,103,.534,0,1,.000,55,102,.539,.534,36,48,.750,52,69,121,7,16,32,14,52,146
474,Christian Wood,PF,21,CHO,13,0,107,12,23,.522,0,5,.000,12,18,.667,.522,11,15,.733,14,15,29,2,3,6,7,11,35
475,Metta World Peace,SF,37,LAL,25,2,160,19,68,.279,9,38,.237,10,30,.333,.346,10,16,.625,5,15,20,11,10,2,7,18,57
476,Brandan Wright,PF,29,MEM,28,5,447,83,135,.615,0,1,.000,83,134,.619,.615,23,35,.657,31,47,78,15,11,20,10,42,189
477,Delon Wright,PG,24,TOR,27,0,446,49,116,.422,10,30,.333,39,86,.453,.466,42,55,.764,16,32,48,57,27,11,25,31,150
478,James Young,SG,21,BOS,29,0,220,25,58,.431,12,35,.343,13,23,.565,.534,6,9,.667,6,20,26,4,10,2,4,15,68
479,Joe Young,PG,24,IND,33,0,135,26,72,.361,5,23,.217,21,49,.429,.396,11,15,.733,1,16,17,15,4,0,5,5,68
480,Nick Young,SG,31,LAL,60,60,1556,272,633,.430,170,421,.404,102,212,.481,.564,77,90,.856,25,113,138,58,37,14,36,137,791
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
481,Thaddeus Young,PF,28,IND,74,74,2237,362,687,.527,45,118,.381,317,569,.557,.560,45,86,.523,131,317,448,122,113,29,95,135,814
482,Cody Zeller,PF,24,CHO,62,58,1725,253,443,.571,0,1,.000,253,442,.572,.571,133,196,.679,135,270,405,99,62,58,65,189,639
